Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
116,11.32868,12.2877655,0.0,3.8990686,6.55422,23.858831,9.128342,3.237878,3.2583537,0.8895288,3.797135,16.043837,16.084581,0.0,27.035412,0.7198212826797385,0.8765906432748537,0.6984384323150896,0.698336525153324
117,12.167852,8.157926,4.388981,1.3342413,3.664184,29.030556,11.010607,0.92462254,5.4117775,14.096473,5.6448355,13.964664,18.790586,6.170373,29.553713,0.7591034184991826,0.9060066574839302,0.6148690527293582,0.5920294731486305
118,8.293178,7.0601416,0.0,0.060995035,6.787385,23.569876,9.213655,1.7397355,5.4211273,1.1455927,1.8598251,14.65476,20.28064,0.0,24.119053,0.8680529740500319,0.9327083333333334,0.7115106404403866,0.7282423253455297
119,8.51037,15.950274,0.0,6.923365,2.430128,14.021291,11.832906,0.6070981,3.196374,15.716511,3.973595,11.0744,11.107703,0.0,15.73341,0.5864499285568241,0.7202850754008384,0.3244580001775999,0.3407019779348532
120,13.986963,12.890999,0.0,17.559965,8.703815,23.254345,8.369094,0.6240336,2.4730535,1.0391936,1.4969358,9.906137,20.220201,0.0,32.80156,0.7507812542614815,0.8513751871121862,0.6883044976705934,0.7051466388496993
123,16.58281,3.8531713,0.0,4.6704965,2.5533514,22.850891,8.187096,0.33164933,5.31636,1.6261804,4.006382,10.199487,23.444519,6.9227986,33.334843,0.6218885473023015,0.7841455890044109,0.4164891102846676,0.2319520876167254
124,11.610298,3.1847672,0.0,9.733102,7.2082534,28.674326,8.500307,0.9658474,3.5373316,1.4792545,2.754772,8.384926,20.278303,0.0,33.9049,0.7134871978683562,0.8311051617142374,0.4862722111963972,0.5591407355588754
126,8.917336,12.937384,0.0,18.428123,8.892963,23.886742,9.038882,1.2164563,1.8087891,0.7081361,0.72316694,14.2688465,18.492298,0.0,31.769293,0.7726390641611385,0.8900015031265032,0.6524151592401667,0.7108127721718195
127,9.519614,6.469461,0.0,10.450435,7.6826086,25.948404,16.223196,0.26841542,4.3482723,0.26626635,0.18252414,9.418832,23.342585,1.1112678,31.605026,0.7969326852362567,0.9239122252333634,0.6721880582298619,0.6630347385816465
128,14.128807,7.005367,0.7554018,5.587907,3.9442434,30.315928,10.850593,2.8661895,0.0,1.0605175,2.2216682,9.229371,19.242952,4.8277135,32.261024,0.7601526736527872,0.8477840063959542,0.7126553797823815,0.7167985416317237
129,0.0,10.58875,0.6883305,6.911577,9.507287,28.740248,8.164078,0.0,1.3895725,2.99463,3.909312,14.810537,11.962016,7.3169003,20.525858,0.8497123368920522,0.911080917874396,0.5827696458530534,0.6369331429160351
133,13.188654,9.098287,0.47761565,3.1873698,4.5902686,24.877537,11.371205,3.834571,3.3153892,3.8062956,2.8270342,10.31858,17.411617,0.0,31.763615,0.7356855020801716,0.8591126384756503,0.6872217311623406,0.6474320883793814
