Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
89,0.0086634755,0.19765773,0.015659273,1.0908837,1.1935859,0.49809885,0.15643227,0.17144871,0.24685979,0.31631514,0.65136325,0.65326065,0.97255456,0.0,0.08820921,3.431027446178961,2.534945413733293,0.92329829169295,35.42339118171775
90,0.75400305,0.16393247,0.17044833,0.63169384,0.3489089,0.25335115,0.37989497,0.3936063,0.16551524,0.325276,0.8396959,0.5651849,0.7262174,0.13619515,0.03860426,4.519525430739006,5.4490102289743065,0.946302503725752,95.25969797057957
91,0.47308457,0.13724005,0.10363218,0.42520615,0.3892939,0.367841,0.27754235,0.5062059,0.24873972,0.108446926,0.7013378,0.43590653,0.70723206,0.0,0.0,2.9699826388888884,2.49984375,0.9307664092992488,29.87762524728318
92,0.53162134,0.6461265,0.16455185,0.5524558,0.2669809,0.27844805,0.35195756,0.19573247,0.15093613,0.115395874,0.5005149,0.78520113,0.72336805,0.06645349,0.12276548,4.435716395071008,3.866251442991758,0.9270265819943746,36.980399884344514
94,0.2872057,0.31924048,0.16665402,0.3246369,0.5763056,0.27508992,0.56037176,0.244537,0.087424636,0.45289657,0.6882449,0.31665397,0.7427741,0.16935554,0.26940042,4.382114631541474,4.023211107155571,0.9352647370364464,33.17476049350593
95,0.5326376,0.23254922,0.02967161,0.5804136,0.42958122,0.22698689,0.39266837,0.34447992,0.4585325,0.6062416,0.71034616,0.6711635,1.0047274,0.17202413,0.27203852,4.2262856668448165,3.094172404667888,0.950521734774424,62.25560982873925
96,0.22402275,0.41797444,0.17907703,0.50146043,0.34269983,0.23103434,0.5582298,0.21139848,0.2869426,0.4483917,0.6142861,0.84849554,0.7993879,0.23701575,0.17940347,3.8513039475563886,3.40604117394962,0.9268097512140208,38.9411225476651
98,0.6225426,0.21579799,0.21530241,0.6357937,0.43380094,0.1701194,0.8159312,0.46737397,0.08463895,0.4158791,0.8064357,0.7695357,0.69500107,0.29959646,0.056980073,4.301878599270065,4.558741121369713,0.9465599526562524,84.53111301548832
100,0.2453413,0.0018074214,0.0,0.31338605,0.28673643,0.37182808,0.0,0.0,0.26664048,0.180217,0.4111903,0.23847413,0.65591806,0.20834377,0.0,1.5227049425434662,1.0115340253748557,0.9137475828746542,21.75216329793533
101,0.25325978,0.0,0.060793072,0.7061156,0.7785611,0.07530218,0.7672609,0.34406722,0.1311233,0.5756444,0.86782694,0.40525103,0.897281,0.15588447,0.14069,5.323335922604336,4.898580608714074,0.9573603600119128,61.13888576842714
102,0.801739,0.023217708,0.0,0.6489397,0.55141747,0.33511025,0.43188488,0.24648559,0.06803703,0.45686635,0.86273026,0.77763003,0.89669275,0.15193641,0.15812682,2.703818359375,2.063193359375,0.9279234775061423,57.96347836511717
103,0.031661093,0.15940139,0.002610743,0.44400224,0.46891552,0.014762759,0.6908473,0.05729395,0.05496168,0.34178522,0.4852851,0.27894247,0.6709646,0.1368236,0.0543036,3.307323820340209,4.771186924604559,0.9503616910461564,47.125688909970194
104,0.43545175,0.0,0.0,0.9178798,0.6231396,0.2762004,0.0,0.022021532,0.23777199,0.0,0.46383467,0.42310482,0.8263794,0.10174528,0.0,2.4280420683726343,2.6143326273628875,0.9237922133322596,40.21458619331042
105,0.14298952,0.039085954,0.17101198,0.4559686,0.69039106,0.34819323,0.4562589,0.02449882,0.12672698,0.26906374,0.9505919,0.41607487,0.80994207,0.6415603,0.007419497,1.325173725299551,2.051016614715892,0.9186748336847896,28.27146596713302
106,0.43215406,0.56463957,0.41241682,0.63055086,0.43763447,0.1888929,0.73258686,0.22831917,0.21094626,0.20836446,0.73544747,0.49817777,0.6715734,0.25324067,0.15090467,3.225047685686626,3.79526306204411,0.9417859575240066,56.62170427640328
107,0.5816339,0.11402431,0.16373974,0.44953653,0.60813165,0.22626352,0.45680857,0.20241678,0.113149464,0.46999797,0.89081997,0.8213001,0.8144422,0.31921276,0.10998629,1.9634755928809864,2.076287835561584,0.9198244369149372,49.00996907375144
108,0.16244733,0.0,0.0020862818,0.62604487,0.93827796,0.13854802,0.2903912,0.023275673,0.21297896,0.18943587,1.0044074,0.4558757,1.1496165,0.242623,0.0,2.4460356652949247,2.363566529492456,0.9178227754243792,24.661868905023155
109,0.2214346,0.024315745,0.011322111,0.59276426,0.6276169,0.20880729,0.3753525,0.27712595,0.13173676,0.30395636,0.6882896,0.61664236,0.7439874,0.03808984,0.0010184795,1.64470308706806,2.053477040684561,0.9096282939995864,16.005110098666
110,0.59818983,0.01092571,0.15305525,0.73224044,0.32960707,0.3583007,0.14304864,0.25141442,0.2900427,0.07139894,0.6074919,0.58326024,0.8362411,0.034005225,0.0,3.2603756744695525,1.8743153880481969,0.9194790719137048,39.37077302466598
111,0.7119733,0.20471534,0.28807616,0.8252927,0.36104965,0.3494646,0.40062153,0.40604782,0.24680132,0.37456772,0.8204521,0.6268534,0.8367146,0.1408706,0.0067227557,3.618479955736633,3.2940998943715103,0.92565309205148,34.38902772233704
112,0.0,1.8713367,0.21721351,0.55881584,1.02752,0.03966993,0.26218164,0.06536615,0.52670056,0.51412284,0.0,2.2202528,0.47074893,1.3148742,0.5816629,2.581701673193307,2.664115343538626,0.9134211889299776,38.000618858654576
113,0.0,0.12007719,0.0,0.23813388,0.9902024,0.33000678,0.91906047,0.2201922,0.18639839,0.45150742,0.73926014,0.22472054,0.91409343,0.37258127,0.06398171,1.273740959894806,2.7790664036817887,0.9444265902417532,25.415938822451057
114,0.72587335,0.14021751,0.18094492,0.5797149,0.33241093,0.18503016,0.23783886,0.25929523,0.36819893,0.19864258,0.7300212,0.68306786,0.6418733,0.10008818,0.056557238,2.3136795639836043,2.629521192739066,0.9130142898412128,21.79925625723702
