Paziente,243,451,509,593,629,1049,1116,1309,1614,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
168,3.7902925,6.0306964,3.3662548,0.8592873,0.804957,3.2266269,1.4819084,2.5635664,3.581905,2.4445121411935813,3.3803913090476705,0.9334047196415576,25.69950139826444
169,2.715741,6.9016037,6.73736,2.209524,1.5419657,4.196188,2.6702256,2.5493243,2.9218707,3.572947850295286,3.641836247364559,0.9458761939723432,52.78076128354104
170,11.5229,4.4978304,3.1633368,3.4543636,1.0701683,1.6248451,4.000056,6.681412,6.6459236,2.7400672509937967,2.97014083722614,0.9286822896890652,28.744193793608115
171,3.97301,9.013479,2.6245494,1.7861657,0.19546148,4.5790186,2.684743,1.6945686,3.251401,3.415712799167534,2.582206035379813,0.9314387292248076,52.92990494011488
175,13.793615,8.187628,1.8479714,24.288044,2.9939623,3.8918364,2.9173799,4.0824327,4.962465,1.452972905945812,1.3212226424452846,0.9231662651059794,21.3154571967072
176,3.883931,1.7237811,2.192275,4.1330953,2.2826853,0.63393164,1.5795764,0.4634269,1.7687495,5.763294982188891,4.44320668196814,0.9274414953206878,44.38237985024336
178,2.8616297,9.738245,5.07875,1.2441854,2.4746053,5.513126,2.7537303,1.9812143,1.482389,3.409795918367347,2.89505306122449,0.9181403690256086,48.44298726327928
182,16.199055,8.631019,3.2183564,22.882656,3.4602747,9.082133,4.545899,9.11471,5.701404,2.702114716675061,2.3375435796469146,0.9200610321333408,28.635644039114204
183,10.764889,1.5766742,1.0697502,9.647601,2.5750306,2.0266376,1.2466677,1.2024349,2.8468337,1.3339506172839506,2.2133024691358028,0.923303394123688,22.655401439854177
188,4.116945,4.51689,4.6756315,0.7096468,4.551596,2.2661924,1.0563136,2.253353,1.2763569,4.368828078524688,5.01977989292088,0.9389637521118817,42.626107527737965
189,3.670826,4.6744018,1.3534119,0.48896503,1.6393416,4.3583837,1.3568796,3.7168713,1.2247427,2.967857479498539,5.454362648066107,0.945243111046702,31.34702326401299
190,1.511425,1.9606647,0.0,0.9401563,1.1750753,3.4414294,1.1184793,1.4533256,0.22664073,3.19421883288211,3.260641632394376,0.9135825204455318,53.4273289086259
193,4.210452,2.7449012,2.1879058,3.802496,2.8390055,1.6636374,1.8238837,5.5953794,2.9302351,2.638322321172077,2.90382712502793,0.955402661645782,18.2880381881084
197,5.0769935,2.2995217,0.16916436,0.27236718,0.8644474,1.299364,2.9584413,5.2076015,1.8062716,2.878135886976769,4.088618896727999,0.936650778814614,38.56346682304627
199,3.5812347,9.735951,2.420836,0.13899204,1.0270805,5.782355,0.3268115,0.51419055,0.0,3.6879,2.3159,0.9063117730222991,44.27321878967414
200,2.6183088,5.689016,1.4532182,4.8852158,2.0844116,4.4096847,4.4964666,3.8773875,3.3736515,1.6426931312940205,1.3412337355199906,0.9193763228460397,23.094319941743343
205,6.861603,6.295002,11.744416,19.588669,2.662126,2.1201303,0.99457204,1.7739134,2.52994,3.0013174526874256,3.912781071409496,0.9315694467858684,39.5720686535509
