Paziente,31,167,618,781,808,1065,1135,1195,1200,1518,1935,438,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
100,0.8843496,1.9263594,0.4571883,1.3043569,0.0,0.5583958,0.586105,3.5825505,1.4007154,0.8706912,0.72634065,0.318439,0.8439434060228452,0.912285272887781,0.7764863613885269,0.7167883486728025
101,0.9634098,0.83940464,0.08802889,2.4463894,0.057864472,1.2086589,0.0,1.7357228,1.8111414,0.39025024,1.3608284,0.23724847,0.7643828540556782,0.8415976148992389,0.6762989686571312,0.6748484808994527
102,0.94239855,1.6728665,0.38117784,1.4060516,0.023591608,0.89610285,0.005187258,3.7531228,2.17627,1.037877,1.157339,0.4238603,0.8144546737857895,0.8870024289366184,0.6536466602743175,0.631077389152224
103,1.6044207,0.6144669,1.7436181,1.6585722,0.07592206,0.9742827,0.7249446,2.185019,1.1386681,0.46347448,1.034161,0.3007198,0.7034165778218929,0.7954807098765432,0.4679450045598828,0.4411551159741513
104,0.8641648,1.7500037,0.1214429,1.2532926,0.0,0.7266993,0.44466376,2.9061596,1.1116536,1.0720075,0.5877864,0.30796516,0.7808765024682286,0.8844560695056289,0.5955350215115447,0.6226681671791003
105,0.70239794,2.0769844,0.0,1.1169248,0.0,0.7930266,0.0,1.8317877,0.9651506,0.93563557,0.2619928,0.40615666,0.8302199713513897,0.8912743990176357,0.7722035282511894,0.6850841242480766
106,0.8539951,0.97030735,0.74975586,2.1192265,0.41779804,1.2827013,0.4938537,2.8216941,1.6768367,0.3408109,1.2039467,0.7107768,0.5475743927535321,0.7702745082529135,0.1546130814474683,0.1455967447004125
107,0.78799915,1.1979401,0.60639983,1.5832587,0.0,0.69123846,0.45635045,2.8753722,2.4488325,1.4279829,1.6047405,0.29836404,0.8370796158825686,0.9062243453644728,0.7289911454779328,0.5984262848883759
108,1.0919188,1.7476965,0.012840673,1.4476095,0.0,0.5467002,0.67584705,2.6145644,0.79994154,1.3451552,0.28236985,1.193326,0.7447070373664652,0.8433605056412075,0.6056399997026379,0.6293669832321882
109,0.90280867,1.6956772,0.5639108,1.709367,0.0,0.8855689,0.3298232,2.3524191,1.5511302,0.3778967,0.95811886,0.7958502,0.8601437913512038,0.901863929146538,0.6802650667387583,0.6965022517975719
110,0.95899606,0.7948348,0.8264386,1.4178432,0.0,0.68414557,0.49478394,3.4036713,1.0000628,0.6706072,0.868519,0.4034844,0.7652106592238171,0.8752616902616902,0.6170377655712954,0.5153579439021986
111,0.8768941,1.331514,0.8337632,1.2280267,0.34709442,0.78551716,0.1843686,3.5500445,1.535626,0.9858202,0.7645405,0.374977,0.7065571180402009,0.7357486637512147,0.5826801935986062,0.4745330654357089
112,2.3994324,0.48591375,0.56155646,2.1597762,0.0,1.8517566,1.1507915,1.53124,0.80746233,1.0301429,1.0795809,1.6248243,0.7449284810542575,0.8404844576719577,0.4197691186046947,0.3032903332894685
113,1.2190717,2.1857016,0.0,1.232803,0.6972541,0.8228914,0.008293077,1.6329095,1.067646,0.8165517,0.7648591,0.009297892,0.7540995370370371,0.8654802867383514,0.5827399410997509,0.6746067722602385
114,0.91834867,1.2080147,0.56930417,1.2688713,0.0,0.66149366,0.35238397,3.855182,1.2994783,0.7491467,0.59321094,0.31560606,0.7592560664112388,0.8635078053259871,0.4412283487579335,0.4102684102096122
115,0.8823291,1.433476,0.44493246,1.7655381,0.07537976,0.92468494,0.5344527,2.6722314,1.4430348,0.3960791,1.4422171,0.63989025,0.6891681059011483,0.8013146698628502,0.624457385564722,0.5897382342935606
116,0.8218107,1.1781274,0.5186928,1.0680059,0.0,0.6598903,0.22874887,3.4634082,1.2714518,0.7000619,0.3224995,0.47053635,0.7198212826797385,0.8765906432748537,0.6984384323150896,0.698336525153324
117,0.869701,1.7775551,1.2099535,1.707713,0.51649606,0.9120063,0.6510484,2.1667893,1.6496506,0.21465102,0.8748006,0.8393559,0.7591034184991826,0.9060066574839302,0.6148690527293582,0.5920294731486305
118,0.9114964,0.9345566,0.7343256,0.47326958,0.05209945,0.59656346,0.021536782,2.8784761,1.5969077,1.132907,0.99815506,0.48770636,0.8680529740500319,0.9327083333333334,0.7115106404403866,0.7282423253455297
119,2.3832493,0.57487965,0.74726766,2.0615072,0.0,1.2595067,0.2711135,1.1079687,1.9492584,0.23267135,2.6151714,0.9865213,0.5864499285568241,0.7202850754008384,0.3244580001775999,0.3407019779348532
120,0.8222724,1.2745147,0.58131593,0.8108566,0.0,0.6702681,0.5206617,2.9704263,1.0837257,0.69297075,0.60018516,0.30641,0.7507812542614815,0.8513751871121862,0.6883044976705934,0.7051466388496993
123,1.0768611,1.0690087,0.5545075,1.7166011,0.44200945,1.2204807,0.3166921,2.4700837,1.8794848,0.80292225,1.1344099,0.60768765,0.6218885473023015,0.7841455890044109,0.4164891102846676,0.2319520876167254
124,0.73155534,1.1122442,0.20186792,1.2250248,0.29189473,0.51647764,0.19136055,2.3084304,2.3351426,0.9037137,1.3061969,0.5185207,0.7134871978683562,0.8311051617142374,0.4862722111963972,0.5591407355588754
126,0.8670732,0.73124546,0.71492714,0.6116289,0.0,0.68843347,0.38163084,3.0038779,0.93508196,0.70072556,0.31340575,0.5907753,0.7726390641611385,0.8900015031265032,0.6524151592401667,0.7108127721718195
127,0.745136,0.6133502,0.6054982,1.3763088,0.0,0.9737266,0.26132333,3.0915453,0.93757,0.981622,0.18578534,0.6794204,0.7969326852362567,0.9239122252333634,0.6721880582298619,0.6630347385816465
128,0.9502704,0.6440096,0.6908844,0.8835994,0.0,1.1423223,0.27777308,2.8246014,0.63587487,0.742169,0.047403857,0.78305304,0.7601526736527872,0.8477840063959542,0.7126553797823815,0.7167985416317237
129,2.7353191,0.5336101,2.4928427,2.8231895,0.0007984936,1.5502846,1.2202672,0.50696325,1.2786239,0.74852824,0.7267929,1.1030389,0.8497123368920522,0.911080917874396,0.5827696458530534,0.6369331429160351
133,1.279552,1.6136415,0.5648698,1.3378124,0.53530425,0.4748987,0.5129159,2.4384046,1.7964016,0.32465264,0.82965916,0.18991633,0.7356855020801716,0.8591126384756503,0.6872217311623406,0.6474320883793814
135,1.8060106,1.9948549,1.0253153,0.6841238,0.0,0.57171607,0.16025122,2.1788514,1.8610374,0.55764747,1.4861466,0.29871792,0.7027240998824964,0.8176600669818754,0.6390502231262876,0.6066108058270986
136,0.83058476,1.3200476,0.50816214,2.2044513,0.0,0.6362744,0.0,2.6723003,2.3846507,0.15366349,1.1338301,0.21455534,0.6389805981292411,0.7788437855766449,0.4743329645694863,0.5751216499205919
137,0.74751484,1.8175486,0.5560034,1.4273893,0.7113256,0.6757321,0.32606286,2.1116912,2.2535043,0.72596383,1.1233226,0.1757618,0.7103457160206532,0.8062597387305731,0.53481506908617,0.5926898335824202
138,0.70640635,0.5893484,0.61281025,0.9115212,0.0,0.76617616,0.25795698,3.222028,1.6702775,0.506894,0.3426807,0.50052387,0.7160054107885322,0.8816894353369763,0.2978623546192671,0.5630164059576134
