Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
107,0.5816339,0.11402431,0.16373974,0.44953653,0.60813165,0.22626352,0.45680857,0.20241678,0.113149464,0.46999797,0.89081997,0.8213001,0.8144422,0.31921276,0.10998629,0.8370796158825686,0.9062243453644728,0.7289911454779328,0.5984262848883759
108,0.16244733,0.0,0.0020862818,0.62604487,0.93827796,0.13854802,0.2903912,0.023275673,0.21297896,0.18943587,1.0044074,0.4558757,1.1496165,0.242623,0.0,0.7447070373664652,0.8433605056412075,0.6056399997026379,0.6293669832321882
109,0.2214346,0.024315745,0.011322111,0.59276426,0.6276169,0.20880729,0.3753525,0.27712595,0.13173676,0.30395636,0.6882896,0.61664236,0.7439874,0.03808984,0.0010184795,0.8601437913512038,0.901863929146538,0.6802650667387583,0.6965022517975719
110,0.59818983,0.01092571,0.15305525,0.73224044,0.32960707,0.3583007,0.14304864,0.25141442,0.2900427,0.07139894,0.6074919,0.58326024,0.8362411,0.034005225,0.0,0.7652106592238171,0.8752616902616902,0.6170377655712954,0.5153579439021986
111,0.7119733,0.20471534,0.28807616,0.8252927,0.36104965,0.3494646,0.40062153,0.40604782,0.24680132,0.37456772,0.8204521,0.6268534,0.8367146,0.1408706,0.0067227557,0.7065571180402009,0.7357486637512147,0.5826801935986062,0.4745330654357089
112,0.0,1.8713367,0.21721351,0.55881584,1.02752,0.03966993,0.26218164,0.06536615,0.52670056,0.51412284,0.0,2.2202528,0.47074893,1.3148742,0.5816629,0.7449284810542575,0.8404844576719577,0.4197691186046947,0.3032903332894685
113,0.0,0.12007719,0.0,0.23813388,0.9902024,0.33000678,0.91906047,0.2201922,0.18639839,0.45150742,0.73926014,0.22472054,0.91409343,0.37258127,0.06398171,0.7540995370370371,0.8654802867383514,0.5827399410997509,0.6746067722602385
114,0.72587335,0.14021751,0.18094492,0.5797149,0.33241093,0.18503016,0.23783886,0.25929523,0.36819893,0.19864258,0.7300212,0.68306786,0.6418733,0.10008818,0.056557238,0.7592560664112388,0.8635078053259871,0.4412283487579335,0.4102684102096122
115,0.58676577,0.40371355,0.21258008,0.74459755,0.30818546,0.30944872,0.53547895,0.3384943,0.17559683,0.20444033,0.7844317,0.81009597,0.7764796,0.09290767,0.29698354,0.6891681059011483,0.8013146698628502,0.624457385564722,0.5897382342935606
116,0.47160995,0.23197064,0.00081911683,0.7456492,0.3568133,0.47694767,0.4767307,0.2597686,0.18859851,0.24680242,0.6164496,0.6191085,0.8364636,0.03969124,0.08367023,0.7198212826797385,0.8765906432748537,0.6984384323150896,0.698336525153324
117,0.29783773,0.21315858,0.18348914,0.44516185,0.39089823,0.1416629,0.6626947,0.09520161,0.1667518,0.32831368,0.56811124,0.5979444,0.75316846,0.12178472,0.08578405,0.7591034184991826,0.9060066574839302,0.6148690527293582,0.5920294731486305
118,0.38838363,0.0,0.0,0.54423904,0.2894526,0.38235915,0.0,0.172598,0.19094741,0.0,0.6481209,0.65196306,0.70411503,0.11125597,0.0,0.8680529740500319,0.9327083333333334,0.7115106404403866,0.7282423253455297
119,0.024674118,0.80377126,0.0,0.94767594,1.0975757,0.33761472,1.9739304,0.16224444,0.20375627,1.5756174,0.5639554,3.676539,0.7107464,1.1158874,0.4925034,0.5864499285568241,0.7202850754008384,0.3244580001775999,0.3407019779348532
120,0.39131534,0.28858098,0.07033333,0.62811494,0.28701997,0.43558347,0.31230998,0.16459322,0.28152782,0.18948326,0.5887313,0.87365264,0.9215397,0.09293309,0.18522443,0.7507812542614815,0.8513751871121862,0.6883044976705934,0.7051466388496993
123,0.84153104,0.05506769,0.26408678,0.5183705,0.5576259,0.12656462,0.43691528,0.35919762,0.117910564,0.44563392,1.0715376,0.35312712,0.8004987,0.20309952,0.04541537,0.6218885473023015,0.7841455890044109,0.4164891102846676,0.2319520876167254
124,0.6751025,0.51070464,0.3047052,0.72125673,0.6688441,0.1284166,0.6979314,0.15555787,0.1523084,0.40235493,1.0348554,0.7003495,0.98792505,0.43963614,0.13789861,0.7134871978683562,0.8311051617142374,0.4862722111963972,0.5591407355588754
126,0.58058345,0.17158177,0.16841677,0.8806896,0.3098737,0.4097221,0.61380863,0.41235137,0.14283854,0.3135048,0.639551,0.48927182,0.911177,0.009564251,0.13886225,0.7726390641611385,0.8900015031265032,0.6524151592401667,0.7108127721718195
127,0.55111516,0.079482615,0.17858106,0.5764539,0.3938418,0.42114925,0.33502865,0.2922176,0.28454626,0.11161789,0.69771767,0.66159517,0.7836844,0.18485534,0.0,0.7969326852362567,0.9239122252333634,0.6721880582298619,0.6630347385816465
128,0.40644383,0.0,0.0,0.6546725,0.39966923,0.40020323,0.07624543,0.104531646,0.2935012,0.030443609,0.5583589,0.6648701,0.783737,0.0,0.0,0.7601526736527872,0.8477840063959542,0.7126553797823815,0.7167985416317237
129,0.7276943,1.3512982,0.08697742,0.61316085,1.1419536,0.08769512,0.0,0.14333832,0.35567635,0.26205298,0.17906886,1.2548199,0.23622917,0.89463186,0.42119992,0.8497123368920522,0.911080917874396,0.5827696458530534,0.6369331429160351
133,0.40974307,0.37157527,0.37961298,0.5230063,0.24881345,0.21926695,0.7134502,0.48594892,0.062256753,0.16035166,0.7842146,0.6052296,0.6860589,0.015199393,0.100844875,0.7356855020801716,0.8591126384756503,0.6872217311623406,0.6474320883793814
135,0.0,0.053711385,0.0,0.76448226,1.1920228,0.3386945,0.6094959,0.26608837,0.38457358,0.35443482,0.46217903,0.69058925,0.67334473,0.33694473,0.088216126,0.7027240998824964,0.8176600669818754,0.6390502231262876,0.6066108058270986
136,0.5320418,0.39692476,0.2569207,0.58138347,0.4074809,0.18096322,0.49920642,0.13653684,0.22796392,0.15461352,0.67118615,0.9267885,0.8621101,0.26267198,0.07909772,0.6389805981292411,0.7788437855766449,0.4743329645694863,0.5751216499205919
137,0.59199643,0.3212817,0.17706847,0.45650402,0.5177636,0.21180028,0.6490164,0.3116187,0.20607722,0.33773717,0.97902834,0.54291993,0.73162574,0.2887579,0.11231066,0.7103457160206532,0.8062597387305731,0.53481506908617,0.5926898335824202
138,0.8833109,0.51198614,0.39015424,1.1434135,0.3929233,0.37192082,0.5161382,0.52212477,0.20486277,0.32277945,0.9043497,0.55380636,0.98107135,0.1764144,0.20846952,0.7160054107885322,0.8816894353369763,0.2978623546192671,0.5630164059576134
139,0.44877088,0.06736225,0.17152187,0.6471416,0.41028136,0.35594988,0.4305395,0.34625387,0.23028141,0.5508834,0.66129285,0.58175606,0.7455624,0.098654896,0.0,0.6783916285760323,0.7262013323041225,0.5657115057909897,0.5493251356203827
141,0.0,0.33652255,0.2080338,0.546965,0.6596675,0.12731963,0.36323178,0.57916355,0.5761685,0.41869137,0.0,1.4404526,0.026918277,1.032502,0.65455306,0.786606424792139,0.9001876876876878,0.5812137201769723,0.6179765850915113
142,0.56050456,0.19432047,0.12943289,0.7194675,0.4094342,0.25504678,0.69729996,0.24991846,0.117770135,0.5008049,0.69784206,0.9540233,0.91334504,0.065374166,0.02345419,0.7859418085225562,0.8869897140945491,0.6651133303397047,0.583592048488497
144,0.0,0.43995264,0.0,0.67808473,0.8173194,0.0,1.417059,0.70152783,0.11012089,0.864473,0.94516593,0.80131227,0.23642375,1.1725266,0.57589555,0.6297504268207199,0.7784596326651229,0.386840583482634,0.4168465963371685
146,0.4777248,0.2197465,0.27999055,0.78964174,0.3306967,0.22411287,0.48787296,0.13296223,0.11349118,0.049307317,0.7342714,0.5077871,0.86098707,0.011213124,0.14323983,0.7628183291795961,0.8663532649414543,0.6808583221650905,0.7169177178079065
147,0.5172311,0.14101279,0.15972024,0.6273929,0.28126103,0.47773612,0.74272156,0.3296764,0.2003107,0.26718482,0.7626901,0.94312745,0.8024314,0.0,0.06817117,0.758008723138676,0.8208151779230209,0.5339611747163832,0.6271340963800981
149,0.013212919,0.0,0.26272053,0.43531695,1.1980506,0.02635032,1.5209968,0.7413056,0.0803296,1.9066247,0.7848441,1.8275254,0.5141632,1.6424968,0.29815054,0.5947045801458161,0.6775815165833637,0.3523207574431118,0.197602899834385
150,0.32393003,0.02571997,0.18840134,0.3918353,0.39670599,0.35372794,0.17266417,0.48478234,0.35215634,0.124148995,0.5718994,0.6420563,0.6103984,0.119155735,0.0,0.7964692951281629,0.8667924265465365,0.5914066209250528,0.6217407347184231
153,0.44263232,0.46774033,0.23660725,0.6294842,0.32074004,0.34259868,0.30105817,0.0,0.18204814,0.22469696,0.59065366,0.64354235,0.9000514,0.026589632,0.13177359,0.8055781072773703,0.8875047404019079,0.737111718210483,0.6694097681655985
